SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,charge_group,tenure_group,HighCharge_MonthToMonth,Churn_Probability,Predicted_Churn
0,0,0,0.9859154929577465,1,0,0.7900497512437811,0.7695649665358875,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,4,3,0,0.05930399401854753,0
0,0,0,0.7323943661971831,1,0,0.015920398009950265,0.1189476113547196,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0.006286685059950783,0
0,0,1,0.676056338028169,1,1,0.9049751243781096,0.6083141010846989,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,5,3,0,0.15251688533930388,0
0,1,0,0.8873239436619719,1,1,0.5164179104477612,0.5148742210939303,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,3,3,0,0.0399803496850842,0
0,1,0,0.8169014084507042,1,1,0.6154228855721392,0.5393953381029309,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,4,3,0,0.08239941549659127,0
0,1,0,0.971830985915493,1,0,0.6786069651741293,0.684444957304408,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,4,3,0,0.009953305626677383,0
0,1,0,0.6619718309859155,1,1,0.4716417910447761,0.3549330717747519,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,3,2,0,0.09413284522174635,0
0,0,0,0.014084507042253521,1,1,0.3189054726368159,0.00853334871913224,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0.36668122784678797,0
0,1,1,0.46478873239436624,1,1,0.01840796019900498,0.07654050311562428,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0.02442185472316853,0
1,1,0,0.7183098591549296,1,1,0.8781094527363184,0.6465555042695592,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,5,3,0,0.358181674588205,0
1,1,0,0.09859154929577466,1,1,0.6208955223880598,0.07090930071543965,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,4,0,1,0.6335182732043441,1
0,1,1,0.3098591549295775,1,1,0.7248756218905472,0.2515001153934918,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,4,1,0,0.05671619440892866,0
0,1,1,0.3098591549295775,0,0,0.16268656716417912,0.0916974382644819,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0.03200795700956674,0
0,0,0,0.0,1,1,0.3139303482587064,0.003577198246018924,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0.3041789504312646,0
0,1,1,0.11267605633802817,1,1,0.5731343283582089,0.07254788829909993,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0.5225660825876168,1
0,1,1,0.7746478873239437,1,1,0.015422885572139305,0.12705977382875608,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0.0060006341066610415,0
0,0,0,0.07042253521126761,1,1,0.5636815920398011,0.052042464804985006,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0.7483184864537703,1
0,0,1,0.33802816901408456,0,0,0.16716417910447756,0.09527463651050082,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,0,0.022258729209118897,0
0,1,1,0.33802816901408456,1,0,0.35870646766169145,0.14747288252942534,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,2,0,0.08250254447124968,0
0,0,0,0.28169014084507044,1,1,0.5517412935323384,0.17769443803369492,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0.6331633580417791,1
0,1,1,1.0,1,0,0.8681592039800995,0.8761539349180707,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,5,3,0,0.020109334982126203,0
0,1,1,0.5915492957746479,1,0,0.05970149253731341,0.12221901684744982,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0.011606953535575148,0
0,1,1,0.14084507042253522,1,0,0.32587064676616917,0.06495499653819525,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0.1649405146366269,0
0,1,1,0.7887323943661972,1,0,0.011442786069651711,0.12033233325640434,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0.008807900677530582,0
0,0,0,0.3098591549295775,1,1,0.020398009950248763,0.05213477959843066,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.11445232780706828,0
0,1,1,1.0,1,0,0.06019900497512437,0.187450957765982,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0.0038133884077797536,0
0,0,0,0.6056338028169015,1,1,0.31741293532338305,0.24466882067851373,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0.18617419708643868,0
0,1,1,1.0,1,0,0.072636815920398,0.2133510270020771,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0.004123755461637587,0
0,0,0,0.0,1,1,0.5572139303482587,0.006398569120701592,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0.7094969160214443,1
0,0,0,0.7746478873239437,0,0,0.2666666666666666,0.29324948072928686,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,2,3,0,0.009579548542483983,0
1,1,1,0.46478873239436624,1,1,0.6104477611940298,0.3115047311331641,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,3,2,1,0.3600229871333568,0
0,0,0,0.9577464788732395,1,0,0.06318407960199005,0.19146665128086776,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0.005797239223025014,0
1,1,0,0.36619718309859156,1,1,0.5696517412935324,0.21638010616201248,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0.5842958923571215,1
0,0,0,0.1267605633802817,1,1,0.8024875621890547,0.12071890145395801,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,4,0,0,0.5127387847236645,1
0,0,0,0.5352112676056339,0,0,0.22786069651741292,0.19410339256865916,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,2,2,0,0.033238687855801155,0
0,1,1,1.0,1,0,0.7124378109452736,0.7551465497345949,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,4,3,0,0.011049348295231043,0
0,0,0,0.6619718309859155,0,1,0.2641791044776119,0.24068197553657977,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2,2,0,0.20234404375248236,0
0,0,0,0.323943661971831,1,0,0.02487562189054726,0.054033002538656824,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0.021681512441851732,0
0,0,1,0.36619718309859156,1,0,0.008955223880596996,0.05983729517655205,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0.05758269416207632,0
0,0,1,0.46478873239436624,1,0,0.49154228855721394,0.26777059773828754,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,3,2,0,0.017078813534480805,0
1,0,0,0.35211267605633806,1,1,0.7263681592039801,0.26921301638587586,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,4,2,1,0.6333583407598143,1
0,1,0,0.6338028169014085,1,0,0.5208955223880596,0.37067274405723516,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,3,2,0,0.02708061050777826,0
0,1,1,0.9859154929577465,1,0,0.015920398009950265,0.15088276021232402,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0.0028454733131238075,0
0,0,0,0.5915492957746479,1,1,0.5681592039800994,0.3626355873528733,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0.3807955276050053,0
0,1,1,0.1267605633802817,1,0,0.36766169154228856,0.05879875375028849,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0.18851370454569386,0
0,0,0,0.0,1,1,0.5174129353233831,0.005936995153473345,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0.7044411581239175,1
0,1,0,0.3802816901408451,1,0,0.7796019900497512,0.30758712208631434,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,4,2,1,0.39809524171573785,0
0,0,0,0.323943661971831,1,0,0.41990049751243785,0.16408377567505195,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,1,0,0.07882056056550724,0
1,0,0,0.14084507042253522,1,1,0.6621890547263681,0.10247519039926149,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,4,0,1,0.7243593603669299,1
0,0,0,0.26760563380281693,1,1,0.014427860696517386,0.04622663281790907,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.0328999166143666,0
1,1,0,0.8028169014084507,1,1,0.8174129353233831,0.6613201015462729,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,5,3,1,0.3346459713314416,0
0,0,0,0.7887323943661972,1,1,0.5582089552238805,0.49602469420724676,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,3,0,0.025851919463913582,0
1,1,0,0.971830985915493,1,1,0.9492537313432835,0.8880510039233787,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,5,3,0,0.09099355917873432,0
0,1,1,1.0,0,1,0.4716417910447761,0.5360835448880683,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,3,3,0,0.0137771365193921,0
0,0,1,0.6338028169014085,1,1,0.8114427860696517,0.5045522732517886,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,4,2,1,0.41897094947570507,0
0,1,1,0.09859154929577466,1,1,0.5004975124378109,0.06295291945534273,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,3,0,0,0.4410945006955647,0
0,1,1,1.0,1,1,0.6592039800995024,0.7052907915993538,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,4,3,0,0.060717043858346295,0
0,0,1,0.04225352112676056,0,1,0.3875621890547264,0.023649896145857375,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,2,0,0,0.4913180234386399,0
0,1,1,0.09859154929577466,1,1,0.3597014925373134,0.052654050311562436,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0.45917955072916233,0
0,1,1,0.5915492957746479,1,1,0.8562189054726367,0.5115451188552966,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,5,2,0,0.22763024039608837,0
0,1,1,0.26760563380281693,1,1,0.3119402985074627,0.10627740595430418,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0.27524267505419775,0
0,0,0,0.46478873239436624,1,1,0.4592039800995025,0.23885875836602816,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,3,2,0,0.047172111802969534,0
0,0,0,0.014084507042253521,1,1,0.3592039800995025,0.011337410570043848,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0.40595435481031883,0
0,1,0,0.26760563380281693,1,1,0.7039800995024875,0.2078986845141934,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,4,1,1,0.5886441847138921,1
0,0,0,0.0,1,0,0.5258706467661691,0.006035079621509347,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0.5716080797014452,1
1,1,0,0.18309859154929578,1,1,0.5656716417910447,0.1147645972767136,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0.7007862219060992,1
0,0,0,0.647887323943662,1,1,0.8771144278606965,0.5895626586660512,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,5,2,1,0.5674449276710085,1
0,0,0,0.0,1,1,0.019900497512437804,0.00016732056312024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.24693095191497902,0
0,1,0,0.295774647887324,1,1,0.6840796019900497,0.2113835679667667,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,1,1,0.4882962921293742,0
0,1,1,0.6338028169014085,1,1,0.019402985074626844,0.10369836141241635,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0.00989280521856873,0
0,1,1,1.0,1,1,0.7910447761194029,0.8046157396722825,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,4,3,0,0.027553418226286125,0
0,0,1,0.3098591549295775,0,0,0.21741293532338307,0.09680936995153475,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,2,1,0,0.032489915508159425,0
0,0,0,0.0,1,1,0.7094527363184079,0.008164089545349643,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,4,0,1,0.7789355352612651,1
0,0,0,0.5070422535211268,1,1,0.7253731343283583,0.38662012462497114,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,4,2,1,0.4447152468992332,0
0,0,0,1.0,1,1,0.015422885572139305,0.16731479344564967,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0.004956056989442347,0
1,1,0,1.0,1,0,0.6587064676616915,0.6786348949919225,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,4,3,0,0.022052197204234934,0
1,0,0,0.4366197183098592,1,1,0.5587064676616916,0.2605758135241172,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,2,0,0.4477637067639221,0
0,0,0,0.47887323943661975,1,0,0.07910447761194028,0.10801984768059082,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0.032392884091593036,0
0,1,1,0.18309859154929578,1,0,0.00547263681592039,0.027319409185321948,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.023102147807979374,0
0,1,0,0.7746478873239437,1,0,0.845273631840796,0.6606912070159243,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,5,3,0,0.07971031112228671,0
0,1,1,0.676056338028169,1,0,0.817910447761194,0.5680821601661666,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,5,3,0,0.16466773204377283,0
1,1,0,0.5070422535211268,1,1,0.5796019900497512,0.3287964458804523,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0.5479866703505087,1
0,0,0,0.0,1,1,0.06716417910447761,0.0007154396492037849,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.3107457233559068,0
0,1,0,0.07042253521126761,1,1,0.6427860696517412,0.05094045695822756,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,4,0,1,0.766109685481652,1
0,1,1,0.943661971830986,1,0,0.6427860696517412,0.6643953381029309,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,4,3,0,0.00734414615871046,0
0,1,0,0.9859154929577465,1,0,0.3606965174129353,0.43381029309946917,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,3,0,0.0045607238556449,0
0,1,1,0.5774647887323944,1,0,0.3606965174129353,0.26336833602584814,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0.053525158660128906,0
0,1,1,0.4084507042253521,1,0,0.014427860696517386,0.0669801523194092,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0.012029098597471598,0
0,1,0,0.0,0,1,0.06517412935323383,0.0006923609508423722,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.6192121213527118,1
0,1,1,0.9859154929577465,1,0,0.6686567164179105,0.6936418186014308,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,4,3,0,0.00722838397201209,0
0,0,0,0.0,1,1,0.3233830845771144,0.003686822063235633,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0.443079511035038,0
0,1,1,1.0,1,1,0.6562189054726368,0.6886395107315948,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,4,3,0,0.015578142278771129,0
0,0,0,0.2112676056338028,1,0,0.007960199004975133,0.03552388645280406,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.054163828493431716,0
0,1,0,0.0,1,0,0.6024875621890546,0.006923609508423725,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0.6714348194358335,1
0,0,0,0.04225352112676056,1,1,0.5711442786069653,0.03271982460189246,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0.7597373999739937,1
0,0,0,0.6338028169014085,1,1,0.7054726368159204,0.4877394414954997,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,4,2,1,0.3261713946790511,0
0,0,0,0.14084507042253522,1,1,0.021890547263681587,0.025213477959843068,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.18878768910778732,0
0,0,0,1.0,1,0,0.06467661691542287,0.20295407339026078,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0.004997052911435483,0
0,1,0,1.0,1,1,0.9094527363184081,0.9071601661666282,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,5,3,0,0.10017161468884087,0
0,1,1,0.295774647887324,1,1,0.8139303482587064,0.23903184860373877,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,5,1,0,0.32201651960776234,0
1,0,0,0.7887323943661972,1,0,0.5134328358208955,0.4597507500576967,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,3,3,0,0.012297314897335807,0
0,1,1,0.23943661971830985,1,0,0.39004975124378105,0.1121682437110547,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,1,0,0.2883301802308758,0
0,0,0,0.647887323943662,1,1,0.8766169154228854,0.557385183475652,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,5,2,1,0.559012694282474,1
0,0,0,0.7605633802816901,1,1,0.5925373134328358,0.4967170551580891,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,3,3,0,0.056358653150889254,0
0,0,0,0.11267605633802817,1,1,0.8064676616915423,0.10384837295176552,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,4,0,1,0.7235578279385274,1
0,0,0,0.8028169014084507,1,1,0.061691542288557194,0.1724901915531964,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0.010141778052159564,0
0,1,1,0.22535211267605634,1,1,0.5184079601990049,0.1364931917839834,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,3,1,0,0.13151397185049934,0
0,1,1,0.943661971830986,0,0,0.41840796019900495,0.47198246018924533,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,3,3,0,0.017535488626719106,0
0,1,0,0.04225352112676056,1,0,0.31641791044776113,0.018526425109623816,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0.2480275089450971,0
0,1,0,0.5774647887323944,1,1,0.8960199004975123,0.527042464804985,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,5,2,0,0.3548391133306605,0
0,1,1,0.8309859154929577,1,1,0.47363184079601983,0.4511308562197092,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,3,3,0,0.011419459320080491,0
0,0,0,0.16901408450704225,1,0,0.7950248756218906,0.13979344564966537,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,4,1,1,0.5401394781077019,1
0,1,1,0.5352112676056339,1,0,0.4134328358208955,0.26829563812600965,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,2,2,0,0.03567623629190866,0
1,0,0,0.36619718309859156,1,1,0.5950248756218905,0.24425340410800833,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0.6130338846594114,1
0,1,0,1.0,1,1,0.7253731343283583,0.7638010616201246,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,4,3,0,0.01805752090300871,0
0,1,1,0.26760563380281693,1,0,0.01791044776119402,0.04398799907685207,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0.018733005078596744,0
0,1,1,0.07042253521126761,1,0,0.014427860696517386,0.008729517655204248,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.06838609030222784,0
0,0,0,0.19718309859154928,1,1,0.30597014925373134,0.0842891760904685,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0.42781549988040857,0
0,0,0,1.0,0,1,0.4522388059701493,0.513039464574198,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,3,3,0,0.01727290343780224,0
